,Sex,Age,Choice
312,Female,27,YES
313,Female,23,YES
314,Female,24,IDK
315,Male,32,YES
316,Male,31,YES
317,Male,24,NO
318,Female,24,NO
319,Male,65,NO
320,Female,60,NO
321,Male,30,NO
322,Male,36,NO
323,Female,41,IDK
324,Female,37,NO
325,Female,18,NO
326,Male,18,NO
327,Male,18,NO
328,Male,15,YES
329,Female,15,YES
330,Male,25,YES
331,Female,25,YES
332,Female,30,NO
333,Female,72,NO
334,Male,17,NO
335,Female,20,YES
336,Male,67,NO
337,Female,21,IDK
338,Female,25,NO
339,Female,23,YES
340,Female,29,YES
341,Male,19,YES
342,Male,19,YES
343,Male,53,NO
344,Female,50,NO
345,Female,60,NO
346,Female,62,NO
347,Female,70,NO
348,Male,30,YES
349,Female,29,YES
350,Male,13,NO
351,Female,30,IDK
352,Female,17,YES
353,Male,15,YES
354,Male,57,YES
355,Female,50,NO
356,Male,25,NO
357,Female,20,IDK
358,Female,26,NO
359,Male,29,NO
360,Male,35,NO
361,Female,30,NO
362,Female,27,NO
363,Male,30,NO
364,Male,29,NO
365,Male,35,YES
366,Female,23,YES
367,Male,28,NO
368,Female,24,YES
369,Female,22,IDK
370,Female,60,NO
371,Male,20,YES
372,Male,50,NO
373,Female,40,NO
374,Female,73,YES
375,Male,80,IDK
376,Female,23,IDK
377,Female,30,YES
378,Female,31,YES
379,Female,22,YES
380,Female,23,NO
381,Female,19,NO
382,Female,23,YES
383,Female,20,IDK
384,Female,20,YES
385,Female,20,YES
386,Male,25,YES
387,Male,27,YES
388,Female,25,YES
389,Male,25,YES
390,Female,32,NO
391,Female,27,NO
392,Female,13,NO
393,Female,37,IDK
394,Male,50,YES
395,Male,40,YES
396,Female,40,YES
397,Female,24,NO
398,Female,25,NO
399,Female,25,IDK
400,Female,30,NO
401,Female,40,NO
402,Male,45,YES
403,Male,23,YES
404,Female,23,YES
405,Male,27,NO
406,Female,16,YES
407,Female,16,YES
408,Female,16,YES
409,Female,40,NO
410,Female,40,IDK
411,Female,40,IDK
